TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557649289.43709,6.086851,1.048231,0.833444,1.995179,1.086532,1.725698,1.330126,0.62931,1.941308,1.622122,18.366848,3.464657,3.534882,2.075938,1.32708,0.365783,0.418188,0.87745,1.62377,0.982535,4.786046,2.301587,1.808945,1.581715,1.242467,4,4,4,0,4,happy
1557649289.56335,5.418462,0.669985,0.991834,2.005142,1.168114,1.53504,1.356538,0.883336,2.344468,1.731085,20.707237,4.27389,4.326738,2.047371,1.58122,0.356849,0.381047,1.014887,1.701862,1.025136,4.719099,1.854521,2.174077,1.685791,1.265506,4,4,4,0,4,happy
1557649289.68932,4.545778,0.511206,1.130555,2.040119,1.201387,1.713549,1.458242,1.103344,2.683932,1.727841,22.125573,4.715427,4.764725,1.97884,1.794682,0.356544,0.389773,1.071614,1.670347,1.041873,4.663051,1.599808,2.43837,1.802179,1.260477,4,4,4,0,4,happy
1557649289.81529,3.926225,0.544772,1.212041,2.052633,1.201784,2.3716,1.598467,1.21721,2.843963,1.622372,22.394752,4.600804,4.696114,1.916014,1.941407,0.371516,0.421988,1.031695,1.529683,1.02946,4.66899,1.529766,2.498501,1.876554,1.242579,4,4,4,0,4,happy
1557649289.94135,3.650977,0.815326,1.217624,1.988843,1.195404,3.257058,1.784455,1.204697,2.777739,1.461609,21.822915,4.201473,4.217408,1.908175,2.022085,0.423984,0.457668,0.915728,1.312052,1.003469,4.499949,1.606144,2.326832,1.86434,1.230774,4,4,4,0,4,happy
1557649290.06742,3.865507,1.38611,1.160055,1.827553,1.201653,4.494148,2.074109,1.088838,2.539855,1.308064,21.12066,4.117802,3.541098,1.97267,2.051774,0.514837,0.482019,0.76715,1.068657,0.987407,4.325882,1.785442,1.988517,1.764422,1.235596,4,4,4,0,4,happy
1557649290.19349,4.053989,2.231357,1.073591,1.603977,1.228733,5.018657,2.492375,0.909711,2.257239,1.217889,21.284305,4.878043,2.940626,2.095277,2.046654,0.615636,0.491926,0.626042,0.853177,0.999073,3.73204,2.02352,1.587196,1.640445,1.257695,4,4,4,0,4,happy
1557649290.31957,4.455368,3.191518,1.006006,1.396747,1.272875,5.661803,3.000678,0.743818,2.057958,1.215651,22.566925,6.608117,2.623707,2.221665,2.008666,0.733539,0.495934,0.528046,0.710422,1.039554,3.329459,2.311451,1.250931,1.591051,1.288427,4,4,4,0,4,happy
1557649290.44544,4.283256,4.018332,1.005071,1.289483,1.323015,5.125336,3.464312,0.63961,2.011763,1.28728,24.442816,8.984264,2.653294,2.297256,1.926028,0.798617,0.504181,0.485936,0.660318,1.091038,2.77392,2.633175,1.067569,1.696773,1.316108,4,4,4,0,4,happy
1557649290.57162,4.240615,4.466099,1.062082,1.316286,1.363228,4.745596,3.728146,0.623712,2.09214,1.389732,26.082958,11.236202,2.90504,2.296672,1.790723,0.843803,0.519716,0.484924,0.69364,1.127161,2.911366,2.937762,1.045997,1.959748,1.326994,4,4,4,0,4,happy
1557649290.69779,3.938518,4.398461,1.133464,1.437903,1.375169,3.963814,3.664487,0.67836,2.208305,1.473133,26.093248,12.713385,3.19661,2.233142,1.609868,0.848502,0.538772,0.502323,0.780199,1.129158,3.414408,3.146117,1.152011,2.292831,1.309708,4,4,4,0,4,happy
1557649290.82387,4.110996,3.871094,1.164171,1.572305,1.343928,3.45425,3.254448,0.768452,2.26906,1.498831,24.274599,13.183845,3.408715,2.15274,1.405829,0.853397,0.558357,0.516918,0.878272,1.097062,4.669083,3.19286,1.315549,2.556801,1.257283,4,4,4,0,4,happy
1557649290.95015,4.29121,3.08445,1.138383,1.648232,1.260583,3.072164,2.595437,0.854542,2.238419,1.456288,20.719364,12.84523,3.478121,2.111907,1.211434,0.866218,0.584559,0.518049,0.946236,1.047369,5.941681,3.059179,1.489668,2.635801,1.16879,4,4,4,0,4,happy
1557649291.07623,4.720347,2.312621,1.065616,1.636712,1.12676,2.737436,1.885482,0.912659,2.144938,1.360408,16.731744,12.174357,3.408378,2.151454,1.0552,0.870945,0.624553,0.50478,0.954785,0.994906,6.972298,2.791519,1.619384,2.49301,1.048918,4,4,4,0,4,happy
1557649291.20231,4.941131,1.793545,0.987256,1.550535,0.964785,2.535452,1.343891,0.932706,2.039324,1.249405,13.25443,11.515863,3.286307,2.271593,0.954497,0.881688,0.680842,0.485964,0.899886,0.94221,7.291041,2.501818,1.695741,2.195586,0.918122,4,4,4,0,4,happy
1557649291.32829,4.977768,1.639118,0.958695,1.417046,0.816134,2.232128,1.119557,0.924402,1.944417,1.166217,10.928711,11.012876,3.181535,2.430334,0.921795,0.858416,0.741565,0.47942,0.798441,0.88455,6.750238,2.287208,1.707633,1.856892,0.814584,4,4,4,0,4,happy
1557649291.45438,4.781513,1.815024,1.023433,1.262005,0.721319,2.026731,1.215701,0.907545,1.84957,1.138592,9.876119,10.601478,3.113037,2.550077,0.961177,0.811676,0.791222,0.511124,0.679473,0.819376,5.749084,2.193155,1.666097,1.573456,0.77897,4,4,4,0,4,happy
